Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
900001,11-05-2012,leicht defekt,nein,ja,6,0, ,Feldsperling, ,
900002,11-05-2012,in Ordnung,nein,nein, , , , , ,
900003,11-05-2012,lässt sich nicht öffnen,nein,ja, , , ,Feldsperling, ,
900004,11-05-2012,in Ordnung,nein,nein, , , , , ,
900005,11-05-2012,in Ordnung,nein,nein, , , , , ,
900006,11-05-2012,in Ordnung,nein,nein, , , , , ,
900007,11-05-2012,in Ordnung,nein,nein, , , , , ,
900008,11-05-2012,in Ordnung,nein,nein, , , , , ,
900009,11-05-2012,in Ordnung,nein,nein, , , , , ,
900010,11-05-2012,in Ordnung,nein,nein, , , , , ,
900011,11-05-2012,in Ordnung,nein,nein, , , , , ,
900012,11-05-2012,in Ordnung,nein,ja,10,0, ,Kohlmeise, ,
900013,11-05-2012,in Ordnung,nein,nein, , , , , ,
900014,11-05-2012,Aufhängung defekt,nein,ja,0,10,3,Kohlmeise,0,
900015,11-05-2012,leicht defekt,nein,ja,0,0, ,Feldsperling, ,
900016,11-05-2012,in Ordnung,nein,ja,0,7,2,Kohlmeise,0,
900017,11-05-2012,in Ordnung,nein,nein, , , , , ,
900018,11-05-2012,in Ordnung,nein,ja,5,0, ,Feldsperling, ,
900019,11-05-2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
900020,11-05-2012,leicht defekt,nein,ja,0,8,2,Meise unbestimmt,0,
900021,11-05-2012,in Ordnung,nein,ja,0,5,1,Feldsperling,0,
900022,11-05-2012,in Ordnung,nein,ja,11,0, ,Meise unbestimmt, ,
900023,11-05-2012,in Ordnung,nein,ja,5,0, ,unbestimmt, ,
900024,11-05-2012,in Ordnung,nein,nein, , , , , ,
900025,11-05-2012,in Ordnung,nein,ja,0,10,1,Blaumeise,0,
900026,11-05-2012,in Ordnung,nein,ja,0,5,10,Star,5,
900027,11-05-2012,in Ordnung,nein,ja,6,0, ,Feldsperling, ,
400050,12-05-2012,in Ordnung,nein,ja,5,0, ,Meise unbestimmt, ,
400054,12-05-2012,in Ordnung,nein,ja,4,0, ,Feldsperling, ,
400146,12-05-2012,in Ordnung,nein,ja,2,3,12,Feldsperling,3,
400147,12-05-2012,in Ordnung,nein,nein, , , , , ,
400148,12-05-2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,2 tote Küken im Kasten
400149,12-05-2012,in Ordnung,nein,nein, , , , , ,
