Nistkasten-nummer,Nummer-fremd,Ort,Ort detailliert,Koordinate,v0,v1,v2,v3,v4,v5,v6,v7,Aufhäng-Datum,Eigentümer,Material,Loch,Bemerkungen,Nistkastennummer alt
1,0,Norddöllen,Herrenholz, ,52,47,17,79,8,20,55,68,1999-01-01,Oldenburgische Landschaft,Holz unbeschichtet,mittel, ,
2,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
3,0,Varnhorn,hinter Obstbaumreihe, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
4,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
5,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
6,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
7,0,Varnhorn,hinter Obstbaumreihe, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
8,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
9,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
10,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
11,0,Varnhorn,hinter Obstbaumreihe, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
12,0,Varnhorn,hinter Obstbaumreihe, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
13,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
14,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
15,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
16,0,Varnhorn,hinter Obstbaumreihe, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
17,0,Varnhorn,hinter Obstbaumreihe, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
18,0,Varnhorn,Genardi Wald, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
19,0,Varnhorn,hinter Obstbaumreihe, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
20,0,Varnhorn,Regenrückhaltebecken, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
21,0,Varnhorn,Genardi Wald, ,0,0,0,0,0,0,0,0,2014-04-05,Beringergemeinschaft Landkreis Vechta,Holzbeton,mittel, ,
22,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
23,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
24,0,Visbek,Schwimmhalle, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
25,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
26,0,Visbek,Schwimmhalle, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
27,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,Sonstiges,Halbhöhle,
28,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,Sonstiges,Nischenbrüterhöhle,
29,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
30,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
31,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
32,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
33,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,unbekannt, ,
34,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,mittel,Kleibertonne,
35,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,mittel,Kleibertonne,
36,0,Visbek,Park, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,Sonstiges,Baumläufer,
37,0,Visbek,Gerbertschule, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,mittel,Kleibertonne,
38,0,Visbek,Gerbertschule, ,0,0,0,0,0,0,0,0,2014-04-11,NABU Visbek,Holzbeton,Sonstiges,Nischenbrüterhöhle,
