Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
900001,5/11/2012,leicht defekt,nein,ja,6,0, ,Feldsperling, ,
900002,5/11/2012,in Ordnung,nein,nein, , , , , ,
900003,5/11/2012,lässt sich nicht öffnen,nein,ja, , , ,Feldsperling, ,
900004,5/11/2012,in Ordnung,nein,nein, , , , , ,
900005,5/11/2012,in Ordnung,nein,nein, , , , , ,
900006,5/11/2012,in Ordnung,nein,nein, , , , , ,
900007,5/11/2012,in Ordnung,nein,nein, , , , , ,
900008,5/11/2012,in Ordnung,nein,nein, , , , , ,
900009,5/11/2012,in Ordnung,nein,nein, , , , , ,
900010,5/11/2012,in Ordnung,nein,nein, , , , , ,
900011,5/11/2012,in Ordnung,nein,nein, , , , , ,
900012,5/11/2012,in Ordnung,nein,ja,10,0, ,Kohlmeise, ,
900013,5/11/2012,in Ordnung,nein,nein, , , , , ,
900014,5/11/2012,Aufhängung defekt,nein,ja,0,10,3,Kohlmeise,0,
900015,5/11/2012,leicht defekt,nein,ja,0,0, ,Feldsperling, ,
900016,5/11/2012,in Ordnung,nein,ja,0,7,2,Kohlmeise,0,
900017,5/11/2012,in Ordnung,nein,nein, , , , , ,
900018,5/11/2012,in Ordnung,nein,ja,5,0, ,Feldsperling, ,
900019,5/11/2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
900020,5/11/2012,leicht defekt,nein,ja,0,8,2,Meise unbestimmt,0,
900021,5/11/2012,in Ordnung,nein,ja,0,5,1,Feldsperling,0,
900022,5/11/2012,in Ordnung,nein,ja,11,0, ,Meise unbestimmt, ,
900023,5/11/2012,in Ordnung,nein,ja,5,0, ,unbestimmt, ,
900024,5/11/2012,in Ordnung,nein,nein, , , , , ,
900025,5/11/2012,in Ordnung,nein,ja,0,10,1,Blaumeise,0,
900026,5/11/2012,in Ordnung,nein,ja,0,5,10,Star,5,
900027,5/11/2012,in Ordnung,nein,ja,6,0, ,Feldsperling, ,
400050,5/12/2012,in Ordnung,nein,ja,5,0, ,Meise unbestimmt, ,
400054,5/12/2012,in Ordnung,nein,ja,4,0, ,Feldsperling, ,
400146,5/12/2012,in Ordnung,nein,ja,2,3,12,Feldsperling,3,
400147,5/12/2012,in Ordnung,nein,nein, , , , , ,
400148,5/12/2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,2 tote Küken im Kasten
400149,5/12/2012,in Ordnung,nein,nein, , , , , ,
400150,5/12/2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
400151,5/12/2012,in Ordnung,nein,ja,1,6,7,Feldsperling,6,
400152,5/12/2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
400090,5/12/2012,in Ordnung,nein,ja,2,2,1,Feldsperling,0,
400052,5/12/2012,in Ordnung,nein,nein, , , , , ,
400153,5/12/2012,in Ordnung,nein,nein, , , , , ,
400154,5/12/2012,in Ordnung,nein,nein, , , , , ,
400155,5/12/2012,in Ordnung,nein,nein, , , , , ,
400156,5/12/2012,in Ordnung,nein,ja,0,7,4,Meise unbestimmt,0,
400157,5/12/2012,in Ordnung,nein,ja,0,5,7,Feldsperling,5,
400158,5/12/2012,in Ordnung,nein,ja,0,5,10,Feldsperling,5,
400062,5/12/2012,in Ordnung,nein,nein, , , , , ,
400044,5/12/2012,in Ordnung,nein,nein, , , , , ,
400159,5/12/2012,in Ordnung,nein,nein, , , , , ,
400103,5/12/2012,in Ordnung,nein,nein, , , , , ,
400160,5/12/2012,in Ordnung,nein,nein, , , , , ,
400161,5/12/2012,in Ordnung,nein,ja, ,5,4,Feldsperling,0,
400162,5/12/2012,Front defekt,nein,ja,6,0, ,Blaumeise, ,Weibchen beringt
400163,5/12/2012,in Ordnung,nein,ja,0,5,8,Feldsperling,5,
400164,5/12/2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
400165,5/12/2012,in Ordnung,nein,ja,0,0, ,Feldsperling, ,
400166,5/12/2012,in Ordnung,nein,ja,3,3,1,Kohlmeise,0,Weibchen beringt
400167,5/12/2012,in Ordnung,nein,ja,6,0, ,Feldsperling, ,
400168,5/12/2012,in Ordnung,nein,ja,12,0, ,Blaumeise, ,Weibchen beringt
400169,5/12/2012,in Ordnung,nein,ja,3,3,1,Feldsperling,0,Weibchen beringt
400170,5/12/2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
400171,5/12/2012,in Ordnung,nein,ja,0,1,4,Feldsperling,0,
400172,5/12/2012,in Ordnung,nein,ja,2,0, ,Meise unbestimmt, ,
400173,5/12/2012,in Ordnung,nein,nein, , , , , ,Hornisse/Wespe
